# base_period_start: 19790101
# base_period_end: 20011230
# apply_filter: False
# area_weight: False
# input_file: data/hadisst/HadISST_sst.nc
date,value
1940-01-01,0.16082576
1940-02-01,-0.12944373
1940-03-01,-0.32007447
1940-04-01,-0.3828299
1940-05-01,-0.3605593
1940-06-01,0.11263353
1940-07-01,-0.22271046
1940-08-01,-0.06722018
1940-09-01,-0.20825645
1940-10-01,-0.2238344
1940-11-01,-0.1815465
1940-12-01,-0.22380543
1941-01-01,-0.28045112
1941-02-01,-0.52426726
1941-03-01,-0.10281911
1941-04-01,-0.16716745
1941-05-01,-0.17040423
1941-06-01,-0.23531657
1941-07-01,-0.28902054
1941-08-01,-0.23276263
1941-09-01,-0.15054202
1941-10-01,0.059028655
1941-11-01,0.43402672
1941-12-01,-0.089681044
1942-01-01,-0.11233035
1942-02-01,-0.20334125
1942-03-01,-0.09383368
1942-04-01,-0.29926804
1942-05-01,-0.49970853
1942-06-01,-0.8036829
1942-07-01,-0.55773216
1942-08-01,-0.91425836
1942-09-01,-0.76502925
1942-10-01,-0.34027714
1942-11-01,-0.43891662
1942-12-01,-0.46784413
1943-01-01,-0.40922067
1943-02-01,-0.15421924
1943-03-01,-0.14859295
1943-04-01,-0.115314186
1943-05-01,-0.089479566
1943-06-01,0.29147348
1943-07-01,0.2343486
1943-08-01,0.22068
1943-09-01,-0.46646124
1943-10-01,-0.28737032
1943-11-01,-0.22865894
1943-12-01,-0.29498318
1944-01-01,-0.07358521
1944-02-01,0.3424817
1944-03-01,-0.02001074
1944-04-01,-0.13006383
1944-05-01,0.3827464
1944-06-01,0.026023075
1944-07-01,0.19331518
1944-08-01,0.23610698
1944-09-01,0.18270034
1944-10-01,-0.3530444
1944-11-01,-0.090049535
1944-12-01,0.27025813
1945-01-01,-0.05981165
1945-02-01,0.18397066
1945-03-01,0.36202428
1945-04-01,-0.22013503
1945-05-01,-0.4729255
1945-06-01,-0.42325956
1945-07-01,-0.38469344
1945-08-01,-0.47039586
1945-09-01,-0.41282266
1945-10-01,-0.26455584
1945-11-01,-0.16403645
1945-12-01,-0.23595352
1946-01-01,0.14776519
1946-02-01,0.080515504
1946-03-01,-0.06927347
1946-04-01,-0.44622913
1946-05-01,0.39667907
1946-06-01,-0.19074413
1946-07-01,-0.018926978
1946-08-01,0.35061613
1946-09-01,0.10964626
1946-10-01,0.06950688
1946-11-01,0.13311183
1946-12-01,-0.15863901
1947-01-01,-0.20672621
1947-02-01,0.123058915
1947-03-01,0.15669861
1947-04-01,-0.075971246
1947-05-01,0.20305482
1947-06-01,0.07437894
1947-07-01,-0.49324438
1947-08-01,-0.47465253
1947-09-01,-0.7895113
1947-10-01,-0.5765296
1947-11-01,-0.1616863
1947-12-01,-0.1746037
1948-01-01,-0.21681511
1948-02-01,-0.059763074
1948-03-01,0.1809803
1948-04-01,0.0069170594
1948-05-01,0.014067888
1948-06-01,0.19961444
1948-07-01,-0.12866044
1948-08-01,-0.27722454
1948-09-01,-0.46708778
1948-10-01,-0.044862747
1948-11-01,-0.22013462
1948-12-01,-0.41495425
1949-01-01,0.10840219
1949-02-01,0.2721905
1949-03-01,0.03567785
1949-04-01,0.27600348
1949-05-01,0.008106172
1949-06-01,0.13069731
1949-07-01,0.1302745
1949-08-01,0.19581705
1949-09-01,0.09103191
1949-10-01,0.12379292
1949-11-01,-0.23740146
1949-12-01,-0.24003685
1950-01-01,0.037139475
1950-02-01,-0.45890105
1950-03-01,-0.5353853
1950-04-01,-0.36449432
1950-05-01,-0.21043018
1950-06-01,-0.35309663
1950-07-01,-0.20858908
1950-08-01,-0.034746468
1950-09-01,-0.4500831
1950-10-01,-0.34250265
1950-11-01,-0.06832409
1950-12-01,0.06386536
1951-01-01,0.33621907
1951-02-01,0.30528706
1951-03-01,0.4158291
1951-04-01,-0.40400156
1951-05-01,-0.03907168
1951-06-01,-0.05055505
1951-07-01,-0.080026925
1951-08-01,0.30956435
1951-09-01,0.1771461
1951-10-01,0.08026652
1951-11-01,0.282
1951-12-01,0.019416839
1952-01-01,0.012148738
1952-02-01,0.17540862
1952-03-01,0.28255177
1952-04-01,0.18392862
1952-05-01,-0.048992097
1952-06-01,0.15954536
1952-07-01,-0.29025304
1952-08-01,-0.2780351
1952-09-01,-0.42531598
1952-10-01,-0.29866418
1952-11-01,-0.012068987
1952-12-01,0.060277015
1953-01-01,0.38510945
1953-02-01,0.37995404
1953-03-01,0.34509307
1953-04-01,0.05632174
1953-05-01,0.41482466
1953-06-01,0.027549148
1953-07-01,-0.03724268
1953-08-01,-0.044458747
1953-09-01,-0.058814168
1953-10-01,-0.06463385
1953-11-01,0.02301389
1953-12-01,-0.027524143
1954-01-01,-0.258078
1954-02-01,-0.17665057
1954-03-01,-0.0057367086
1954-04-01,0.101445794
1954-05-01,-0.45102364
1954-06-01,-0.36411804
1954-07-01,-0.71562636
1954-08-01,-0.4458201
1954-09-01,-0.5378156
1954-10-01,-0.58808774
1954-11-01,-0.29246533
1954-12-01,0.037856102
1955-01-01,0.031711042
1955-02-01,-0.057974935
1955-03-01,0.17611825
1955-04-01,0.06610161
1955-05-01,-0.59726936
1955-06-01,-0.24676663
1955-07-01,-0.29933295
1955-08-01,-0.24518993
1955-09-01,-0.5567959
1955-10-01,-0.48252916
1955-11-01,-0.110143244
1955-12-01,-0.20973256
