# base_period_start: 19790101
# base_period_end: 20011230
# apply_filter: False
# area_weight: False
# input_file: results/jra55/fields/day/surface/fcst_surf125.118_brtmp.1958010100_2018123100.daily.nc
date,value
1958-01-01,-0.32666078
1958-02-01,-0.14433882
1958-03-01,-0.1291379
1958-04-01,-0.38569397
1958-05-01,-0.11246211
1958-06-01,-0.50773066
1958-07-01,-0.74922204
1958-08-01,-0.40549135
1958-09-01,-0.67868173
1958-10-01,-0.56060976
1958-11-01,-0.21354644
1958-12-01,0.12251729
1959-01-01,0.4849186
1959-02-01,-0.011768134
1959-03-01,-0.35203844
1959-04-01,-0.19733064
1959-05-01,-0.64113134
1959-06-01,-0.5632992
1959-07-01,-0.61532986
1959-08-01,-0.50294423
1959-09-01,-0.29530725
1959-10-01,-0.39628726
1959-11-01,-0.37835878
1959-12-01,-0.4143332
1960-01-01,-0.23472863
1960-02-01,0.23537171
1960-03-01,-0.08818798
1960-04-01,-0.52085763
1960-05-01,-0.70769477
1960-06-01,-0.25183922
1960-07-01,-0.40646857
1960-08-01,-0.6061468
1960-09-01,-0.28506708
1960-10-01,-0.6716684
1960-11-01,-0.8000125
1960-12-01,-0.5105171
1961-01-01,-0.02036345
1961-02-01,0.04205811
1961-03-01,0.39229232
1961-04-01,-0.11897847
1961-05-01,-0.25478518
1961-06-01,0.42667374
1961-07-01,0.88657844
1961-08-01,0.9062221
1961-09-01,0.857172
1961-10-01,1.3344038
1961-11-01,0.6771599
1961-12-01,0.33722085
1962-01-01,0.5532075
1962-02-01,0.6194265
1962-03-01,0.3206059
1962-04-01,0.33780032
1962-05-01,-0.14742103
1962-06-01,0.034433767
1962-07-01,0.18947978
1962-08-01,0.22602412
1962-09-01,0.49595043
1962-10-01,-0.012241259
1962-11-01,-0.018504823
1962-12-01,0.09265998
1963-01-01,0.28424984
1963-02-01,0.63507885
1963-03-01,0.29510033
1963-04-01,0.2692415
1963-05-01,-0.20023654
1963-06-01,0.014856994
1963-07-01,0.55348897
1963-08-01,0.832184
1963-09-01,0.3910867
1963-10-01,0.8900407
1963-11-01,0.7905233
1963-12-01,0.19128436
1964-01-01,-0.18065849
1964-02-01,-0.49875706
1964-03-01,0.011375576
1964-04-01,-0.11139575
1964-05-01,-0.31435645
1964-06-01,0.054782808
1964-07-01,-0.25568306
1964-08-01,-0.44944027
1964-09-01,-0.5256625
1964-10-01,-0.32960686
1964-11-01,0.024219751
1964-12-01,-0.035874963
1965-01-01,0.14879292
1965-02-01,-0.14530051
1965-03-01,0.15174228
1965-04-01,-0.054921806
1965-05-01,-0.15302902
1965-06-01,-0.24258944
1965-07-01,-0.10122222
1965-08-01,0.13331893
1965-09-01,-0.15711027
1965-10-01,0.089517474
1965-11-01,0.10769653
1965-12-01,-0.3020764
1966-01-01,-0.048818797
1966-02-01,-0.07045938
1966-03-01,-0.07240018
1966-04-01,-0.30760205
1966-05-01,-0.3943658
1966-06-01,0.31936866
1966-07-01,0.08846179
1966-08-01,0.37259036
1966-09-01,0.29107207
1966-10-01,-0.08367297
1966-11-01,-0.4253362
1966-12-01,-0.15004534
1967-01-01,-0.3982974
1967-02-01,-0.34700578
1967-03-01,0.32920536
1967-04-01,0.048675865
1967-05-01,0.008529156
1967-06-01,0.36017787
1967-07-01,0.54194486
1967-08-01,0.40814042
1967-09-01,0.51139426
1967-10-01,0.8111971
1967-11-01,0.44092247
1967-12-01,0.07600506
1968-01-01,0.03363031
1968-02-01,0.30823258
1968-03-01,-0.31333184
1968-04-01,0.025506675
1968-05-01,0.112048596
1968-06-01,0.36962095
1968-07-01,0.09733343
1968-08-01,-0.0014381558
1968-09-01,-0.2830037
1968-10-01,0.053221174
1968-11-01,-0.017463788
1968-12-01,0.04238315
1969-01-01,-0.12335559
1969-02-01,-0.12941816
1969-03-01,0.049838174
1969-04-01,0.11193104
1969-05-01,0.121906854
1969-06-01,-0.16945507
1969-07-01,-0.22668687
1969-08-01,-0.07086724
1969-09-01,-0.01589027
1969-10-01,0.5050027
1969-11-01,0.3185748
1969-12-01,0.17726949
1970-01-01,0.46447277
1970-02-01,0.44336134
1970-03-01,0.3343999
1970-04-01,0.43929696
1970-05-01,0.6498133
1970-06-01,0.11417016
1970-07-01,0.03561692
1970-08-01,0.09609532
1970-09-01,-0.040566176
1970-10-01,0.025122806
1970-11-01,-0.22282538
1970-12-01,0.050557077
1971-01-01,0.069550335
1971-02-01,0.021227121
1971-03-01,0.25522423
1971-04-01,0.3658894
1971-05-01,0.1056883
1971-06-01,0.037403375
1971-07-01,-0.040234536
1971-08-01,-0.15011673
1971-09-01,-0.16550359
1971-10-01,-0.3631128
1971-11-01,0.15309444
1971-12-01,0.17221212
1972-01-01,0.514514
1972-02-01,-0.09652208
1972-03-01,0.16910535
1972-04-01,0.21374686
1972-05-01,0.5624836
1972-06-01,0.96646225
1972-07-01,0.75359595
1972-08-01,0.83993775
1972-09-01,1.0073172
1972-10-01,0.59910274
1972-11-01,0.8785986
1972-12-01,0.36191124
1973-01-01,0.15201288
1973-02-01,-0.15569142
1973-03-01,0.20061149
1973-04-01,-0.008122563
1973-05-01,0.25596616
1973-06-01,0.14699604
1973-07-01,0.07305151
1973-08-01,0.13125713
1973-09-01,-0.04879547
1973-10-01,0.010272678
1973-11-01,-0.01194945
1973-12-01,-0.22174886
1974-01-01,0.2684775
1974-02-01,0.33307284
1974-03-01,0.41231042
1974-04-01,-0.016218364
1974-05-01,-0.0005621314
1974-06-01,0.5183959
1974-07-01,-0.055776507
1974-08-01,-0.070932955
1974-09-01,-0.2684726
1974-10-01,-0.2433022
1974-11-01,-0.37293953
1974-12-01,-0.039942294
1975-01-01,-0.4340496
1975-02-01,-0.051220655
1975-03-01,-0.30871725
1975-04-01,-0.017232656
1975-05-01,0.12882766
1975-06-01,0.28243586
1975-07-01,0.52917635
1975-08-01,-0.08525956
1975-09-01,-0.4559095
1975-10-01,-0.962372
1975-11-01,-0.23476204
1975-12-01,0.06857091
1976-01-01,-0.20064634
1976-02-01,0.073464185
1976-03-01,0.06298745
1976-04-01,0.08031875
1976-05-01,0.107553065
1976-06-01,0.6898191
1976-07-01,0.7740987
1976-08-01,0.26444533
1976-09-01,0.16286173
1976-10-01,-0.14025438
1976-11-01,-0.18591969
1976-12-01,0.23437569
1977-01-01,0.004679024
1977-02-01,-0.09951484
1977-03-01,0.22306427
1977-04-01,-0.07587369
1977-05-01,-0.24334785
1977-06-01,0.15882486
1977-07-01,0.19462037
1977-08-01,0.5255049
1977-09-01,0.32901964
1977-10-01,0.4763798
