# base_period_start: 19790101
# base_period_end: 20011230
# apply_filter: False
# area_weight: False
# input_file: results/jra55/fields/day/surface/fcst_surf125.118_brtmp.1958010100_2018123100.daily.nc
date,value
1958-01-05,-0.48957205
1958-01-12,-0.007286355
1958-01-19,0.037872843
1958-01-26,-0.5479764
1958-02-02,-0.79276204
1958-02-09,-0.41626674
1958-02-16,-0.10225294
1958-02-23,0.0038038194
1958-03-02,0.07181245
1958-03-09,-0.44827825
1958-03-16,-0.16662176
1958-03-23,-0.0929417
1958-03-30,-0.008389831
1958-04-06,-0.27046162
1958-04-13,-0.35235038
1958-04-20,-0.426947
1958-04-27,-0.5065803
1958-05-04,-0.37740618
1958-05-11,-0.017202988
1958-05-18,0.30602053
1958-05-25,-0.085431576
1958-06-01,-0.31928504
1958-06-08,-0.57014
1958-06-15,-0.5258983
1958-06-22,-0.54359853
1958-06-29,-0.3060717
1958-07-06,-0.45299459
1958-07-13,-0.7818055
1958-07-20,-1.0138943
1958-07-27,-0.8532961
1958-08-03,-0.46206874
1958-08-10,-0.38583946
1958-08-17,-0.46830904
1958-08-24,-0.46571624
1958-08-31,-0.279858
1958-09-07,-0.7972743
1958-09-14,-0.8976277
1958-09-21,-0.7158716
1958-09-28,-0.5322363
1958-10-05,-0.59060025
1958-10-12,-0.6594525
1958-10-19,-0.6070484
1958-10-26,-0.5214239
1958-11-02,-0.34438327
1958-11-09,-0.41073546
1958-11-16,-0.022122845
1958-11-23,0.011277035
1958-11-30,-0.3836711
1958-12-07,-0.2443665
1958-12-14,0.11112806
1958-12-21,0.23914205
1958-12-28,0.37783754
1959-01-04,0.39979467
1959-01-11,0.62807953
1959-01-18,0.50595057
1959-01-25,0.51947874
1959-02-01,0.24979314
1959-02-08,0.24269652
1959-02-15,0.19891542
1959-02-22,-0.3994952
1959-03-01,-0.27438962
1959-03-08,-0.36042014
1959-03-15,-0.16784027
1959-03-22,-0.5115268
1959-03-29,-0.5674425
1959-04-05,-0.4098763
1959-04-12,-0.4429512
1959-04-19,0.034615293
1959-04-26,-0.13961425
1959-05-03,-0.2826665
1959-05-10,-0.30020705
1959-05-17,-0.34239098
1959-05-24,-0.7954419
1959-05-31,-0.84357333
1959-06-07,-0.5377649
